epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,414.702,0.18494,0.5451,0.95023,0.99869,1,0.995,0.99204,0.14529,0.23567,0.51135,0.002575,0.002575,0.002575
77,419.925,0.09722,0.12472,0.87335,0.99885,1,0.995,0.995,0.13642,0.15689,0.5223,0.002476,0.002476,0.002476
78,425.096,0.09564,0.12302,0.85597,0.99889,1,0.995,0.995,0.14158,0.13951,0.52639,0.002377,0.002377,0.002377
79,430.316,0.09142,0.1185,0.86908,0.9989,1,0.995,0.995,0.15477,0.21044,0.52668,0.002278,0.002278,0.002278
80,435.5,0.1019,0.13226,0.87531,0.9988,1,0.995,0.995,0.12898,0.17287,0.50563,0.002179,0.002179,0.002179
81,440.666,0.09065,0.11879,0.85964,0.99819,1,0.995,0.995,0.1524,0.19576,0.51596,0.00208,0.00208,0.00208
82,445.804,0.09246,0.11578,0.8658,0.99807,1,0.995,0.995,0.13919,0.20016,0.51354,0.001981,0.001981,0.001981
83,451.047,0.08515,0.10222,0.87239,0.99866,1,0.995,0.995,0.12467,0.14883,0.49917,0.001882,0.001882,0.001882
84,456.255,0.09291,0.11169,0.86388,0.99765,1,0.995,0.995,0.12644,0.18085,0.51413,0.001783,0.001783,0.001783
85,461.444,0.08159,0.10987,0.86167,0.9988,1,0.995,0.995,0.13029,0.14543,0.50669,0.001684,0.001684,0.001684
86,466.662,0.08175,0.19186,0.86768,0.99877,1,0.995,0.995,0.12916,0.16744,0.5084,0.001585,0.001585,0.001585
87,471.892,0.08094,0.1183,0.8709,0.9989,1,0.995,0.995,0.11831,0.13602,0.49936,0.001486,0.001486,0.001486
88,477.067,0.07277,0.10291,0.86559,0.9989,1,0.995,0.995,0.13527,0.14875,0.51378,0.001387,0.001387,0.001387
89,482.244,0.07543,0.09868,0.87666,0.99889,1,0.995,0.995,0.12443,0.1467,0.51236,0.001288,0.001288,0.001288
90,487.404,0.07758,0.11206,0.86865,0.99887,1,0.995,0.995,0.12981,0.16346,0.51688,0.001189,0.001189,0.001189
91,497.672,0.11583,0.52784,0.88935,0.85947,1,0.995,0.995,0.14188,0.82768,0.52531,0.00109,0.00109,0.00109
92,502.978,0.07588,0.11069,0.85146,0.97656,1,0.995,0.995,0.17796,0.31651,0.53532,0.000991,0.000991,0.000991
93,508.219,0.06892,0.0898,0.84179,0.99818,1,0.995,0.995,0.18203,0.21937,0.5487,0.000892,0.000892,0.000892
94,513.458,0.06065,0.0887,0.84733,0.99889,1,0.995,0.995,0.16024,0.19709,0.54001,0.000793,0.000793,0.000793
95,518.653,0.05944,0.07072,0.84243,0.9989,1,0.995,0.995,0.15134,0.18673,0.53111,0.000694,0.000694,0.000694
96,523.843,0.06072,0.06892,0.8492,0.9989,1,0.995,0.995,0.15361,0.1848,0.53302,0.000595,0.000595,0.000595
97,529.03,0.05611,0.06739,0.84089,0.99891,1,0.995,0.995,0.15819,0.2023,0.53436,0.000496,0.000496,0.000496
98,534.468,0.05107,0.06126,0.84297,0.99891,1,0.995,0.995,0.15678,0.17532,0.52871,0.000397,0.000397,0.000397
99,539.634,0.04956,0.05761,0.84738,1,1,0.995,0.995,0.14912,0.17401,0.52367,0.000298,0.000298,0.000298
100,544.872,0.04376,0.05591,0.83338,1,1,0.995,0.995,0.13656,0.17239,0.5221,0.000199,0.000199,0.000199
